YarareInitCube__FP3cEmffffffsUs 0x0019e418
PSMTXRotRad 0x00252848
ckDmgWeapon__6cEmHit 0x001d5930
SubCharRegistMotion__FUiUi 0x0024bdb0
init0__7cPlayer 0x001668b0
Append__3OTWPvPFPv_v7OT_TYPEUs 0x002546c8
getRoomSavePtr__9cRoomDataUs 0x00264038
SceAtCheckSaveItemId__FUiUs 0x0026d558
PlWepLockRand__FP7cPlayerUcRfT2 0x0024ea28
clear__8cItemMgr 0x0011a1e0
EffectEspgenDelete__FUsUcPv 0x001fb660
setRocket__6cEmWepP3cEmP6tagVecP8ATK_INFO 0x00116180
adjust__7cSatMgrP6tagVecN21fUiUi 0x001a2500
PlWepHitCheck3__FP6tagVecUsfUi 0x0024d680
weaponParts__8cItemMgrP5cItemi 0x00120230
setChain__9cObjChainP10CLOTH_INFO 0x0013baa0
roomInit__8cItemMgr 0x0011d9f8
KeyClear__FUl 0x0023efc0
Muku__FP6tagVecT0ff 0x00277768
getFloor__7cSatMgrP6tagVecPP6tagVecffUi 0x001a26d0
setParent__9cObjChainP3cEmUiP6tagVecUi 0x0013b970
Initialize__7cSofdecPCcUi 0x002571b0
setThrow__9cObjSpearP6tagVec 0x0013a0c0
search__8cItemMgrUs 0x0011e430
RouteCkToPos__FP3cEmP6tagVecT1UiPf 0x00264e18
ScaleMatrix__FPA3_fRC6tagVec 0x0022b4c8
move__8IDSystem 0x0021d218
SetEmHit__FUiUiP6tagVecT2Uc 0x001d4e40
EspGenSetMoveLoop__FUi 0x001b89e8
setStart__11cObjTrolley 0x0014fd00
setOpen__9cEmSwitch 0x001e3ea0
set__8cDmgInfoUcUcUcR6tagVecfP11YARARE_INFO 0x001bb580
ckRide__11cObjGondola 0x00144758
Em3fClothReset__FP3cEm 0x001bcc58
setLost__9cObjSpear 0x0013a1f8
SetSstAddAreaFlag__FUi 0x001fb4b8
saveDataSize__8cItemMgr 0x00120718
init__9AdaResult 0x00127be8
MotSetObj00__FP4cObjUiUiUi 0x00233e20
SceCountEmAliveGanado__Fv 0x00271010
ScenarioTaskAllOff__Fv 0x00274258
keyKamae__7cObjWep 0x001513a0
setBlendType__10cModelInfo16TEXANM_BLND_TYPE 0x0022ddc0
adaRibbon 0x004326a8
bulletNum__8cItemMgrUs 0x001204f8
makeList__8Merchant 0x00129f38
LowerBinocular__13CameraControl 0x00105788
Debug_free__FPv 0x002298a0
SndSePause__FUis 0x001717c0
Em30ClothMove1__FP3cEmP10CLOTH_INFO 0x001bc900
SetSstDispFlag__FUci 0x001fb408
SndRoomBgmVolReset__FUci 0x001705e0
checkEmListNo__FUs 0x002769a0
Mem_free__FPv 0x002296d8
joyKamae__Fv 0x0024bfa8
setGrenadeThrow__6cEmWepP6tagVecUiUiUiUiUi 0x001167f0
roomInit__8IDSystem 0x0021c2a0
SndStrStopBlock__FUi 0x00207f28
setMotion__10cObjLadderPUi 0x00132740
SetBeginEvent__8cObjRoboUi 0x001480d0
setSeHit__6cEmWepUcUcUc 0x00116a80
SndEventStrStop__FUi 0x00171ed0
itemCamera 0x004245b0
setRideEm__11cObjGondolaP3cEm 0x00144768
ckOpen__9cEmSwitch 0x001e3e90
PlReloadEndTbl 0x003bf588
MercSysWk 0x003cfa48
setGetOffEm__11cObjGondolaP3cEm 0x00144878
St0_data_tbl 0x00329600
RoomEfmRegist__FP6cModelUc 0x001b8d28
SceUpCutEnd__Fv 0x00270a00
RotMatrixZXY__FPA3_fRC6tagVec 0x0022b818
frameOut__9CountDown 0x001b05f8
beginReload__7cObjWep 0x001513c0
Ctrl12CntAdd__FP5cCtrl13CTRL12_ID_CNTi 0x0010e6d8
MesSet__14MessageControlUiiiUiiUci 0x0012c2d0
leonHair 0x004323a8
stock_r11c 0x002f09d8
EspSetGatling__FG6tagVecT0 0x001eb998
init__8cSubChar 0x0015a908
mes_col_tbl 0x002f12f8
CalcMovePosDist__FP6tagVecPC6tagVecf 0x00278230
bulletNum__7cObjWep 0x001506b0
grip__12cObjLauncherb 0x0014b128
MotionSetCore__FP6cModelP11MOTION_INFOPvT2UcUsUs 0x0022f7d8
setEffAlways2__6cEmWepUcUcUcP6tagVecs 0x00116b68
swapModelInfo__6cModelP10cModelDataP10cModelInfo 0x0022df20
em3fPlSECtrl__FPUs 0x0013dc20
OpeGetMdtNo__Fv 0x00174e60
destroyAll__6cEmMgr 0x001bb248
SubCharVoiceSet__FUsUs 0x00165350
EmCatchPLSet__FP3cEmfUifffPFP7cPlayer_v 0x001c3740
RouteCkTiming__FP3cEm 0x00264818
SceAtDataReset__FUi 0x0026a988
quit__10GameResult 0x00155090
ChkWaterEffectEnable__FRC6tagVec 0x001fbed8
EmPlBloodSet__FP3cEmP6tagVecUiUcUc 0x001be888
getRoomEtcRack__FUiPP7cEmRacki 0x00202000
PS2TEXGet 0x00251980
searchItemPieceData__FUsP15ITEM_PIECE_INFO 0x0025e700
setClosed__9cEmBarred 0x001c7ce0
drop__12cObjLauncherb 0x0014aed0
Em3fClothMove1__FP3cEmP10CLOTH_INFO 0x001bcb40
setMaxRot__11cObjGatlingf 0x00134b20
move__10GameResult 0x00154d80
IdTexDataLoad__FUi9TEX_OWNER 0x002202f8
DelAll__8EventMgr 0x00205b90
SetPillar__FUiUiP6tagVecT2 0x00145f98
MotionMoveSub__FP6cModelP11MOTION_INFO 0x00230db0
Vu0Atan2f__Fff 0x002539b0
setYarare__6cEmWepffP6tagVec 0x00116bb0
SetObaModel__FP3cEmUiP6tagVecffUc 0x0013bbe0
CameraSetOrientationRoll__FP6CAMERA 0x001ac9c0
startScope__13CameraControlP6tagVecT1 0x001054b8
set__5cMot3P6cModelUiUiUiUiUiQ25cMot34MODEUsUs 0x00249208
VecElevation__FRC6tagVec 0x0022b018
minimumSearch__8cItemMgrUs 0x0011e4a8
chgPiece__9pzlPlayerP8pzlBoard 0x002608d8
FlgOnStatus__5EventQ25Event13EvtStatusFlag 0x00208288
Matrix2AxisAngle__FPA3_fR6tagVec 0x0022acb8
setSpecular__10cModelInfoUcUcUc 0x0022ddc8
setDown2__10cObjLadder 0x0012f820
adaDressMotReset__7cPlayer 0x00248a48
EndSubDamage__Fv 0x0024b450
SetAreaAttr__13CameraControlScScUc 0x00101038
endBattery__13CameraControl 0x00105d70
EffAreaCheckNo__FRC6tagVecUi 0x001eb6f0
setVib__10cObjYagura 0x00151638
room__7cMapMgrUiUc 0x00121ad0
setNoClose__9cEmBarred 0x001c9148
ssPrim 0x00417a20
memmove 0x002af458
setSubBullDrive__8cObjBull 0x001428b0
init__10GameResultPUi 0x00154cf0
clearStatus__3cEm9EM_STATUS 0x001bb348
partsMatCalc__6cModel 0x0022c970
RoomSeCall__FUsP6tagVecUcUiP6cModel 0x0016dc90
C_MTXLookAt 0x00252d88
setEffAlways__7cEmRockUcUc 0x001dec48
setDieEff__6cObj16 0x001370b8
setBreak__7cEmRackP6tagVec 0x001db748
clearLostWait__6cObj16 0x001370c8
DrawTexture__FPP9TEXHeadersssss 0x0022a168
checkSubMissionTarget__FUiUi 0x00276ea8
At_poly_line_ck__FPC4cSatP6tagVecPCUsPC6tagVecT3UiUi 0x001a0a48
PlSetDamageSe__Fi 0x0024aea0
makeItemList__8cItemMgrPUcUiRScT3 0x0011e170
PlSetCostume__Fv 0x0024ab60
levelDataAdd__FP13MERCHANT_DATAP10LEVEL_INFOUi 0x001290f8
setOpen__9cEmBarredUc 0x001c7bd8
ckStatus__9cEmBarred 0x001c7d68
DiedemoExec__FiUi 0x00219d28
ChkWindow__FP6cModelP6tagVecT18FIELD_IDPUsT1T1PP9cEmWindow 0x001e7528
getEffInfo__C7cEatMgr15EAT_EFFECT_TYPE 0x001a3270
PSMTXRotAxisRad 0x00252ae8
deleteModelData__6cModelP10cModelData 0x0022de18
__8cSubChar 0x0015a6e8
rehash__9pzlPlayer 0x00261738
setNormal__7cEmDoor 0x001d4738
getPartsPtr__C6cModeli 0x0022f1f0
num__8cItemMgrUs14ITEM_CHAR_TYPE 0x0011f058
SceAtItemFlgCk__FUi 0x0026bfc0
SceAtLinkEtcDead__FUiUiUi 0x0026cf48
__ti3cEm 0x0047c958
SmdGetGroupObjPtr__Fi 0x00275d30
omake_move__11IDAdaResult 0x001185c0
setNoItem__3cEm 0x001bb3a0
Obj41CatchCk__FP6cObj41 0x0013d500
weaponId__8cItemMgrP5cItem 0x00120110
init__9pzlPlayerUi 0x0025fd10
setYarare__7cEmDoor 0x001d2238
gripBack__12cObjLauncher 0x0014b1e0
addModel__6cModelP10cModelInfo 0x0022da38
Ctrl12GetTexRenderEm2c__FP5cCtrl 0x0010e800
__5cMot3 0x002491f8
Cckpt 0x0041b5c0
SceAtDataSet_hide__FUiPv 0x00269d08
getFrame__9CountDown 0x001b07f8
EtcGetDasAddr__FUiPUi 0x00201578
yarareOnOff__11cObjBatteryb 0x0013e3c8
EmMgr 0x004203b0
abort 0x002b08d0
Em34ClothMove2__FP3cEmP10CLOTH_INFO 0x001bbf18
SetHeliMissile__FUiUiP6tagVecT2Uc 0x00144de0
PlInitFunc 0x004203e0
Estgen45SetTargetCamera__Fi 0x001fae18
room_init__10AdasReportUi 0x00118698
EatGetEffectType__FUi 0x001a1880
WireSetMot__F10WireIdEnumUiUiUiUiUiUiUiUi 0x0026f708
PathGetLength__FP14tagPATH_HEADER 0x0023f488
SceAtSetDoorFunc__FUiPvT1 0x0026a868
setOpened__9cEmSwitch 0x001e3f60
GetWaterHeight__FR6tagVecPf 0x001f9368
setBreak__8cObjBell 0x00133690
Em33ClothSet2__FP3cEmP10CLOTH_INFOUi 0x001bc3f8
save__8MerchantP13MERCHANT_DATA 0x00129308
matUpdate__6cModel 0x0022e358
Em2b_fs_tbl 0x00325128
SetRock__FUiUiP6tagVecT2Uc 0x001dbbb8
deleteModelInfo__6cModelP10cModelInfo 0x0022dea0
CameraCurrentProjection__Fv 0x001ad360
setParent__8cEmTorchP3cEmUiUi 0x001e5550
SetEmWindowFcv__8EventMgrUiUiUi 0x002074d0
giveupExtraPiece__9pzlPlayer 0x00260448
OpeSetOpenTerm__F8OpeMdtNoUiffff 0x00174f18
EspSetEatEffect__FR6tagVecT015EAT_EFFECT_TYPEUc 0x001fbab0
setMatrix__4cSatPA3_Cf 0x001a4600
partsWorldCalc__6cModel 0x0022cf28
setBreak__11cObjGondola 0x00144900
setLostWait__6cObj16i 0x00137108
ckTrans__10cObjLadder 0x0012fb88
setItem__3cEmUsUsUsUsSc 0x001bb388
setPos__6cModelRC6tagVec 0x0022d858
SeAtSetOnOff__FUiUc 0x00276218
joyFireOff__Fv 0x0024bef8
SetObj12__FUiUiP6tagVecT2 0x0023c578
EndPlDamage__Fv 0x0024b1f0
setOn__10cObjLadder 0x0012fb60
SceAtSetActType__FUiUc 0x0026abb8
YarareAdd__FP3cEmP11YARARE_INFOfffffsUs 0x0019e468
SetObj00__FUiUiP6tagVecT2 0x00233c98
CurrentCameraNo__13CameraControl 0x00100798
GetEm10EyeEffectEnable__Fv 0x002026b8
EmPlBloodSet2__FP3cEmP6tagVecUiUcUc 0x001beb28
__3cEm 0x001bb2e8
OSReport 0x00253e40
PartsMgr 0x00431ce0
VecLinearDecomposition__FRC6tagVecN20PfT3 0x0022b378
tunable__8MerchantP5cItem 0x00129e20
St1_data_tbl 0x00329928
ckBreak__8cObjBell 0x001336c0
Front_check__FP6tagVecfT0f 0x002779f0
weaponInit__7cPlayer 0x0024cd10
adaDress 0x004325e8
PathGetPosEm__FP14tagPATH_HEADERP6cModelfPUsP6tagVec 0x0023f630
save__9cGameSaveP14SAVE_DATA_HEADi 0x00219758
getMoveFrameRtn__8cObjBull 0x001429f8
setFire__11cObjMissileP6tagVec 0x00145d38
ClrShape__FP6cModel 0x00276508
SceAtItemModelPtr__FUi 0x0026d988
deleteAttachCamera__13CameraControlP13ATTACH_CAMERAP6cModel 0x001059f0
PartsWorldPosCalc__FP6cModel 0x0022f528
Em30ClothSet2__FP3cEmP10CLOTH_INFO 0x001bc920
setAng__6cModelRC6tagVec 0x0022d9a8
setGetOffPL__11cObjGondola 0x00144be8
ckAtkEnable__6cObj16 0x00137350
MapMgr 0x003ce180
setEff__7cEmRackUc 0x001db8b0
SetEmSwitch__FUiUiP6tagVecT2Uc 0x001e3888
GetCtrlCtrl12__Fv 0x0010e5b8
pSys 0x0032530c
setMotion__8cObjBullPUi 0x001412f0
setBreakTruck__8cObjBull 0x00142a10
setDouble__9cEmBarredP9cEmBarred 0x001c9158
setDamage__6cObj16 0x00137330
EmSetDropItem__FP3cEm 0x001c5f30
MotionMoveCore__FP6cModelP11MOTION_INFOP6CAMERA 0x00230e08
merchantChar 0x003cfb80
Key 0x00431938
Em34ClothSet2__FP3cEmP10CLOTH_INFO 0x001bbe38
initWepHand__7cPlBodyUi 0x002459e8
GetOPDataHeaderSize__Fv 0x00263840
destroy__7cSatMgrP4cSat 0x001a43b8
setBreak__11cObjGatling 0x00134b50
WeaponId2MaxLevel__FUsi 0x00121158
getRoomEtcSwitch__FUiPP9cEmSwitchi 0x00202288
getPowerRatio__FUsi 0x00119f48
SndRoomBgmVolSet__FUcii 0x00170560
moveStay__7cObjWep 0x001512c8
moveReload__7cObjWep 0x001512f0
reload__8cItemMgr 0x0011fc60
LightMgr 0x00425a88
ReadCheck__4cDvdiPUiN22 0x001b63f0
offboardDump__8cItemMgrP5cItem 0x00120ad0
systemVISetBlack__Fi 0x00229bc0
PSMTXCopy 0x002527a8
PenClothMove3__FP3cEmP10CLOTH_INFOb 0x002437f0
setRno__6cModelUcUcUcUc 0x0022f1a8
setCloseLock__7cEmDoor 0x001d45f0
DCInvalidateRange 0x00254330
stopFire__11cObjGatling 0x00134968
strlen 0x002afb40
Em33ClothSet__FP3cEmP10CLOTH_INFOUi 0x001bc2d8
EffectEventDelete__Fv 0x001fb6e0
levelNew__8Merchant 0x00129ab8
setRotType__7cEmItemUc 0x001d69f8
dump__8cItemMgrUs 0x0011eed8
CheckDoorJumpWithAshley__Fv 0x00267410
Ctrl12Set__FP5cCtrl9CTRL12_IDs 0x0010e658
ckBreak__11cObjGatling 0x00134b28
setTime__8IDSystemP7ID_UNITs 0x0021d3f8
RoomData 0x004561f8
SceAtItemFindFlgCk__FUi 0x0026c008
setScale__7cEmRockf 0x001dfc90
setData__9cDataCtrlPCc 0x001b21c8
LifeDownSet__FP3cEmii 0x001c25f8
sqrtf 0x002abb38
setNoSuspend__6cModeli 0x0022f160
getKindLight__9cLightMgrUc 0x00223618
__ti6cModel 0x0047c968
setOpenLock__7cEmDoorUc 0x001d45b8
SceAtGetCenterPos__FR6tagVecUi 0x0026abe8
move__9AdaResultUi 0x00127cd8
EffectEspDelete__FUsUcPvP6cModel 0x001fb640
ModInfoMgr 0x00431d00
setClimb__10cObjLadder 0x0012f6b8
SetObj41__FP3cEmUi 0x0013c358
create__7cSatMgrUiUiPC6tagVecT3Uc 0x001a32d0
FootSeCall__FUsP6tagVecUcUi 0x0016dd38
setParent2__9cObjChainP3cEmUiP6tagVecUiT3Ui 0x0013ba08
CamPos2ScrnVec__FffR6tagVec 0x001ad648
setEff__9cEmBarrelUc 0x001caa58
OpenBoxMain__F11OpenBoxTypebsiii 0x00272158
SetTrolley__FUiUiP6tagVecT2 0x0014e0a8
SetEndEvent__8cObjRoboUi 0x00148120
gameInit__8IDSystemi 0x0021c238
setMotion__10cObjPillarUi 0x00146ff8
setShock__7cEmDoorUiP6tagVecUi 0x001d2c08
startUp__7cPlayer 0x00166be0
SceKill__FP8SCE_TASK 0x002748e0
EndActBtn__5Event 0x002053c0
HDReadDebugAlloc__FPCcPPvb 0x0020a2f0
moveDown__7cObjWep 0x001512e8
setBreakMode__11cObjGatlingUc 0x00134b40
IdNum 0x004179c8
RunEvtCancel__5EventUi 0x00202dd8
removeExtraPiece__9pzlPlayer 0x00260388
SndStrStatusCk__FUiUi 0x0016f308
setLongCk__9cEmSwitch 0x001e4368
SndBgmTblSetDisable__FUib 0x00171c98
RotVector__FPC6tagVecT0P6tagVec 0x00277b30
SetObjRobo__FUiUiP6tagVecT2 0x00147e90
SceSetMissionEnd__F10CHAPTER_NOi 0x00273c88
SINF__Ff 0x0022c258
PlDeleteEff__Fv 0x0024b0d0
MotSetObj16__FP4cObjUiUiUi 0x00136f50
beginEvent__8cSubCharUi 0x00163150
registEffInfo__7cEatMgr15EAT_EFFECT_TYPEPC9AtEffInfo 0x001a3070
SetBreakModel__9cEmWindow 0x001e94a0
setLockMode__9cEmBarredUc 0x001c7d60
setUnderCk__9cEmBarred 0x001c9170
SndBgmTblSetEnable__FUib 0x00171b20
SetAtariOff__9cEmWindow 0x001e9620
ckBullRide__8cObjBullP6tagVecPUcT1 0x00141a30
init__4cSatP8cSatFileRC6tagVecT2 0x001a4540
ShapeMove__FP10cModelInfo 0x00276370
GetXYAngle__FPC6tagVecT0 0x002775c8
set_range__8cItemMgri 0x0011c2e0
EspDataLoad__FUiUi16ESP_DATALOAD_FLG 0x001b7980
buyupPrice__8MerchantP5cItemi 0x0012a6e8
Vu0Cosf__Ff 0x00253838
WeaponInitFunc 0x00326d10
Em33ClothMove2__FP3cEmP10CLOTH_INFO 0x001bc4f8
VecLinearCombination__FRC6tagVecfT0fR6tagVec 0x0022b1b0
FlrAtSetDefVal__FUcUcUc 0x00217418
SetObjGatling__FUiUiP6tagVecT2 0x00133890
getCameraPitch__13CameraControl 0x00102970
quit__11IDAdaResult 0x001184d0
Em3fClothSet1__FP3cEmP10CLOTH_INFO 0x001bca38
beginEvent__7cPlayerUi 0x00247c00
setBarred2nd__9cEmSwitchP9cEmBarred 0x001e4048
sceAtSetOtStart__Fv 0x002661b0
setEffFall__7cEmRockUcUc 0x001dec38
buyupPrice__8MerchantUsi 0x0012a5e8
setEff__7cEmDoorUc 0x001d2230
setSeDamage__6cEmWepUcUcUc 0x00116a68
Ctrl11StopAndSetSe__FP5cCtrlP3cEmsUcUc 0x0010e1c8
PlClothMoveLeon__FP3cEmP10CLOTH_INFON21 0x00249670
getRoomEtcDram__FUiPP9cEmBarreli 0x00202458
WireSetMotInit__Fv 0x0026f7d8
exerciseItemNo__8Merchanti 0x0012a548
EvtMgr 0x004243d0
SubCharInit__FUcRC6tagVecf 0x0024b5b0
GetWepDmVal__FP3cEmUiUi 0x001bcc80
SceAtSetItemModel__FUiP4cObj 0x0026d790
__ti8cSubChar 0x0047c978
getBuff__6SsPrimi 0x00175690
ptrPiece__9pzlPlayerP8pzlBoard 0x00260748
stockNew__8Merchant 0x001299a8
SmdSetTrans__Fii 0x00275db0
setTransMode__7cEmRockUi 0x001ded10
setEffAlways__6cEmWepUcUc 0x00116b28
create__11cModInfoMgrUiUi 0x0022e748
SetObj08__FP3cEmUiUiP6tagVecT3UiP8ATK_INFO 0x00237c50
voiceStop__8cSubChar 0x00165328
EffEm2d_setTexRender__FP6cModel 0x001eb7b0
EspMTXInverse__FPA3_A3_fT0 0x001f3ec8
pSaveData 0x00424cc0
setPlMotion__7cEmRockPUi 0x001dfbd0
St2_data_tbl 0x00329ab8
moveDrop__7cObjWep 0x001512f8
loadScopeParam__13CameraControl 0x00105690
Rnd__Fv 0x00263950
clearLostJpn__6cObj16 0x001370e0
setCoord__4cSatRC6tagVecT1 0x001a45a0
Obj10SetEst__FP4cObjUiUiUiUiUiUiUiUiUi 0x0023be28
Sofdec 0x00455940
EffGetToolState__Fv 0x001b8c58
SceAtInitSaveItem__Fv 0x0026d528
drawLaserSight__7cObjWepbN21 0x001506f8
_$_3OTW 0x00254458
FadeKill__F7FADE_NO 0x00209da0
SceDestroyEm__Fii 0x002710c8
MotionGetCurrentFrame__FP11MOTION_INFO 0x00232228
EffSetRoomSeFunc__FPFP6tagVec_vUi 0x001eb3d8
GetMovieBrowserListNo__Fii 0x0012e830
DmgMgr 0x0041c0c8
setBurn__6cObj12 0x0023d6d0
SetBinocularRange__13CameraControlffff 0x001056d0
ckReload__11cObjGatling 0x00134970
PenClothFixClear__FP3cEmP10CLOTH_INFOUi 0x00240b70
leonHolster 0x00432468
levelupPrice__8MerchantP5cItemii 0x0012b1f0
SceCountEmAlive__Fii 0x00270f40
SndRoomBgmStop__FUci 0x001704d8
KeyStop__FUl 0x0023ef90
setFall__6cObj12P6tagVecUc 0x0023c750
__6cModel 0x0022c368
vecZero 0x003be0e0
PlSelect__FUc 0x0024aaa8
Ctrl11SetSeEm38__FP5cCtrlP3cEmUc 0x0010e298
ZFAR 0x00431a18
sellingItemNum__8Merchant 0x0012a288
SceAtHitCheck__FUi 0x0026aab0
EmListIsAlive__FUi 0x001bdb38
setBurn__6cObj16 0x00138000
use__8cItemMgrP5cItem 0x0011e960
EmSetFromList2__FUiUi 0x001bd538
SceSetRoomExitFunc__FPvT0 0x00270b88
SwapOut__9cDataSwapUiUiUi 0x001ad7b8
destroy__7cObjMgrP4cObj 0x00233500
__tf7cPlayer 0x002494b8
piece_info 0x00326de8
PenClothMove2__FP3cEmP10CLOTH_INFO 0x002422a0
endEvent__7cPlayerUi 0x00248080
get__8cItemMgrUsUs 0x0011e630
AreaGetInsidePos__FR6tagVecRC13AREA_HIT_DATA 0x0019e080
strstr 0x002b2770
saveScopeParam__13CameraControl 0x00105650
setEff__6cEmBoxUc 0x001cc2e0
mot3 0x003d7450
dmMotCk__Fv 0x00246930
CardSave__FUiUi 0x0010a500
PSMTXConcat 0x002527d0
setSeAlways__6cEmWepUcUcUcUc 0x00116ac8
__ti7cPlayer 0x0047c988
movePos__8IDSystemP7ID_UNIT 0x0021d4c0
__9cPartsMgr 0x0022e4b8
SceAtCreateExecAt__FP6cModelP6tagVecfUcUcUcUcffUc9SCE_LEVELPvT11_Uc 0x0026c458
level_null 0x002f05d0
setTrans__6cPlWepbUi 0x0024d8b0
SceAtCreateItemAt__FRC6tagVecUsUiSciP6cModels 0x0026c898
SetObj08Est__FP4cObjUiUiUiUiUiUiUiUiUc 0x00237ef8
Em18ClothMove__FP3cEmP10CLOTH_INFO 0x001bc048
RouteCkGetPointNumber__Fv 0x00265a38
Em32_fs_tbl 0x00325220
dumpAll__8cItemMgrP5cItem 0x0011ef60
getPiece__8pzlBoardScSc 0x0025f838
orientation__8pzlPieceSc 0x0025e7a0
SceEventEnd__FUi 0x00270570
Snd_get_sit_adrs 0x0016cac0
VibSetData__FUiUiUi 0x0023f368
setSubBullFinger__8cObjBull 0x00142920
PlSetFace__Fi 0x0024c890
move__5cMot3f 0x00249320
setRange__7cEmRackffff 0x001db8b8
C_MTXPerspective 0x00252e70
CamCtrlShoulderSetAim__FR6tagVec 0x001048b0
PlShotFrameTbl 0x003bf7d8
ckStop__11cObjTrolley 0x0014fd30
PlSetNeck__Fi 0x0024bc28
GetBulletPoint__Fv 0x001c45f0
search__8pzlBoardP8pzlPiece 0x0025efd8
itemCombineCheck__FUs 0x0011f180
CheckAshleyActive__Fv 0x00267370
EmSeCall__FUsP6tagVecUcUcUiP6cModel 0x0016dc58
construct2__7cPlayer 0x00249508
SetObjBattery__FUiUiP6tagVecT2Ui 0x0013dfd8
setFlashThrow__6cEmWepP6tagVecUi 0x001165f0
setLadderInfo__10cObjLadderUiUc 0x0012f6d0
__tf7cObjWep 0x00151268
CalcStopDist__Fff 0x00278200
level__11ItemExamineScScScSc 0x00209228
SndBlkStop__FUs 0x0016eb00
IdAllocBuffer__Fv 0x00220230
EvtReadMram__8EventMgrPCcUcPUiQ28EventMgr16EvtReadBlockTypeUi 0x00205f40
frameIn__9CountDown 0x001b05a0
CardSysSave__Fv 0x0010a5c8
setReportNo__10AdasReporti 0x00118940
SetObj08Se__FP4cObjUsUs 0x00237f58
levelMax__8MerchantUsi 0x00129b68
roomInit__13CameraControl 0x00102100
endEvent__9cLightMgr 0x00225a30
SubCharGetCondition__Fv 0x001651e8
pPL 0x004203d0
free 0x002b0a60
levelupItemNum__8Merchant 0x0012af68
SndRoomStrVolReset__Fi 0x001709b8
SceMesGetSelection__Fv 0x00270e28
beginAction__7cPlayer 0x00248228
setCommand__9cDataUnit12DATA_COMMANDPvUc 0x001b11a0
__ti7cObjWep 0x0047c998
setLaserSight__7cPlayerbN21 0x00248748
memset 0x002af554
cellState__8pzlBoardScSc 0x0025fb88
setParent__6cModelP6cModelUiR6tagVecT3 0x0022d770
SceAtExecute__FUi 0x0026aae0
setFall__9cEmShieldP6tagVecf 0x001e3420
setSeHitWall__6cEmWepUcUcUc 0x00116a98
Ctrl12GetTexRenderEm2b__FP5cCtrl 0x0010e770
numRetain__Fi 0x00174dc0
stockNum__8MerchantUs 0x001297b8
asinf 0x002aba38
ARQPostRequest 0x00251690
joyFireTrg__Fv 0x0024bf50
