memset 0x002bfe8c
StopAnim__3DLLi 0x00173788
RestartAnim__3DLLi 0x00173808
SetObjToTime__3DLLif 0x00173870
SetObjToMayaFrame__3DLLif 0x00173978
InitObjOn__3DLLP12WORLD_ASSETSib 0x001739a0
ActivateObj__3DLLib 0x00173c00
DeactivateObj__3DLLi 0x00173c30
IsObjActive__3DLLi 0x00173c98
IsObjAnimating__3DLLi 0x00173cd0
IsObjAnimFinished__3DLLi 0x00173d38
GetAxisDotVectorToHero__3DLLiQ23DLL4AXIS 0x00173d90
AlignAxisToVectorToHero__3DLLiQ23DLL4AXISf 0x00173e88
RegisterScriptTrigger__3DLLP12WORLD_ASSETSPFPQ23DLL11COLLIS_INFO_vi 0x001741c0
RegisterScriptAnimatedTrigger__3DLLP12WORLD_ASSETSPFPQ23DLL11COLLIS_INFO_vii 0x00174238
RegisterScriptInstanceTrigger__3DLLP12WORLD_ASSETSPFPQ23DLL11COLLIS_INFO_vii 0x001742c0
RegisterScriptWorldSwap__3DLLP12WORLD_ASSETSPFPv_v 0x00174390
RegisterScriptWorldSwapActivated__3DLLP12WORLD_ASSETSPFPv_v 0x001743f0
RegisterOnEnterCallback__3DLLPFPQ23DLL16AI_ProximityData_vP12WORLD_ASSETSi 0x00174450
RegisterActivateWorldCallback__3DLLPFP7eWorlds_vP12WORLD_ASSETS 0x001744b8
RegisterScriptBreakable__3DLLP12WORLD_ASSETSPFPQ23DLL11COLLIS_INFO_vii 0x00174520
ReturnToNormalCamera__3DLLib 0x001745a8
SetToNormalCamera__3DLLib 0x001746a0
SetToNormalCamera__3DLLffb 0x00174798
SetHeroSceneCamera__3DLLff 0x00174a18
SetAI_DistCamera__3DLLifff 0x00174a70
SetAiHotspotDistCamera__3DLLiifff 0x00174ae0
SetHeroDistCamera__3DLLfff 0x00174db8
OverRideCameraAttributes__3DLLfff 0x00174de0
RestoreCameraAttributes__3DLLv 0x00174e40
StartEffect__3DLLiP12WORLD_ASSETSb 0x00174e60
StopEffect__3DLLiP12WORLD_ASSETS 0x00174f60
MoveEffect__3DLLiib 0x00175210
MoveEffect__3DLLifff 0x00175268
MoveEffect__3DLLiffffff 0x001752a8
MoveEffectToAnimatedLocator__3DLLiiib 0x00175330
MoveEffectEndSegmentToLocator__3DLLii 0x001753d8
MoveEffectEndSegmentToAnimatedLocator__3DLLiii 0x001753e0
MakeMovableItemUnMovable__3DLLi 0x001753e8
Break__3DLLi 0x001753f0
PlaySound__3DLLiP8CFVECTORb 0x001754a8
LoopSound__3DLLiib 0x00175558
VisitLoopSound__3DLLiib 0x00175600
KillSound__3DLLi 0x00175680
KillSound__3DLLii 0x001756c8
PlayMainSound__3DLLiP8CFVECTORb 0x00175748
PlayStingStream__3DLL18STING_SOUND_STREAMf 0x001757f8
PlayHeroWeaponSound__3DLLQ23DLL9HERO_ENUMiP8CFVECTORb 0x00175848
PlayHeroShieldSound__3DLLQ23DLL9HERO_ENUMiP8CFVECTORb 0x00175930
PlayHeroSound__3DLLQ23DLL9HERO_ENUMiP8CFVECTORb 0x00175a18
AddAnimObjSound__3DLLP12WORLD_ASSETSiiff 0x00175b08
RemoveAnimObjSound__3DLLP12WORLD_ASSETSii 0x00175b30
SetHeroEquippedState__3DLLb 0x00175b58
SetHeroStatus__3DLLif 0x00175ba8
DamageHero__3DLLi 0x00175bf8
KnockbackHero__3DLLf 0x00175c40
KillCurrentHero__3DLLv 0x00175c70
KillBothHeroes__3DLLv 0x00175ca8
IsHeroOccupied__3DLLv 0x00175d10
IsHeroTalking__3DLLv 0x00175d38
GetHeroYPos__3DLLv 0x00175d70
GetHeroHeightAboveGround__3DLLv 0x00175da0
GetHeroHeightPatchMaterial__3DLLv 0x00175dc8
GetHeroHeightPatchType__3DLLv 0x00175de8
SetConversationTargetWithOrient__3DLLibT2 0x00175e08
SetConversationTarget__3DLLib 0x00175f30
EndConversation__3DLLi 0x00175f50
SetAI_Agro__3DLLi 0x00176020
SetAI_Behavior__3DLLiQ33DLL12AI_BEHAVIORS11eAIBehaviorP13uBehaviorData 0x00176108
SetAI_MovementType__3DLLiQ33DLL12AI_MOVEMENTS12eAIMovements 0x00176160
GetAI_MaxHitPoints__3DLLi 0x001761a8
GetAI_HitPoints__3DLLi 0x001761f0
GetAI_HitPointsPercentage__3DLLi 0x00176238
SetAI_HitPoints__3DLLii 0x001762c0
SetAI_HitPointsPercentage__3DLLif 0x00176308
SetAI_ConversationTarget__3DLLii 0x00176378
RemoveItemFromHero__3DLLii 0x00176400
GiveItemToHero__3DLLiib 0x00176440
RemoveAllOfItemFromHero__3DLLi 0x00176478
SetHeroStartPos__3DLLi 0x001764b0
GetHitPoints__Q23DLL4HEROQ23DLL9HERO_ENUM 0x00176598
GetHitPointsPercentage__Q23DLL4HEROQ23DLL9HERO_ENUM 0x001765c0
GetMaxHitPoints__Q23DLL4HEROQ23DLL9HERO_ENUM 0x00176620
SetHitPoints__Q23DLL4HEROQ23DLL9HERO_ENUMi 0x00176648
SetHitPointsPercentage__Q23DLL4HEROQ23DLL9HERO_ENUMf 0x00176678
AddHitPoints__Q23DLL4HEROQ23DLL9HERO_ENUMi 0x001766d0
DeductHitPoints__Q23DLL4HEROQ23DLL9HERO_ENUMi 0x00176700
FillBothHerosMagicPoints__Q23DLL4HEROv 0x00176730
GetNeopoints__Q23DLL4HEROv 0x00176768
RemoveNeopoints__Q23DLL4HEROi 0x00176788
GiveNeopoints__Q23DLL4HEROi 0x001767c0
NeedHeroAlive__Q23DLL4HEROQ23DLL9HERO_ENUM 0x001767f8
IsHeroDead__Q23DLL4HEROQ23DLL9HERO_ENUM 0x001768b0
StartHeroLongFall__3DLLv 0x00176918
RunHero__3DLLiQ23DLL11WAIT_OPTIONQ23DLL14CONTROL_OPTION 0x00176950
WalkHero__3DLLiQ23DLL11WAIT_OPTIONQ23DLL14CONTROL_OPTION 0x00176a30
WalkHeroAndOrient__3DLLiQ23DLL11WAIT_OPTIONQ23DLL14CONTROL_OPTION 0x00176b10
MoveHero__3DLLibQ23DLL14CONTROL_OPTIONT2 0x00176bf0
GetCollisInfo__3DLLi 0x00176d60
GetAnimID__3DLLP11ANIM_OBJECT 0x00176d88
SetGameState__3DLLib 0x00176dc0
SetLevelState__3DLLibP12WORLD_ASSETS 0x00176df0
QueryLevelState__3DLLiP12WORLD_ASSETS 0x00176e58
GetHeroAttackAlignment__3DLLv 0x00176ea8
GetHeroShieldAlignment__3DLLv 0x00176ed0
GetHeroArmorAlignment__3DLLv 0x00176ef8
IsThatAFireMote__3DLLi 0x00176f20
IsThatATatteredCloakYourWearing__3DLLv 0x00176f48
IsThereADeflectedMissile__3DLLv 0x00176f70
LaunchFireMote__3DLLiifb 0x00176ff0
DoesHeroHaveItem__3DLLi 0x001771f0
DoesHeroHaveTreasureMap__3DLLi 0x00177228
Random__3DLLii 0x00177250
SetMusic__3DLLi 0x00177278
HasMoviePlayed__3DLLi 0x001772b0
SetReturnWorldForFMV__3DLL7eWorlds 0x001772e0
SetReturnTransitionForFMV__3DLL7eWorlds 0x00177318
PlayFMV__3DLLib 0x00177350
IsAI_Active__3DLLi 0x00177408
IsAI_Active__3DLLP12WORLD_ASSETSii 0x00177430
IsAI_Dead__3DLLi 0x00177450
IsAI_Agro__3DLLi 0x00177478
IsAI_Flying__3DLLi 0x001774c8
IsAI_Hit__3DLLi 0x00177520
IsAI_Dead__3DLLP12WORLD_ASSETSii 0x00177568
IsHeroMovingBlock__3DLLv 0x00177588
SetEntityUndamageable__3DLLibP12WORLD_ASSETS 0x00177600
SetEntityInvulnerable__3DLLibP12WORLD_ASSETS 0x00177660
ActivateEntity__3DLLi 0x001776c0
DeactivateEntity__3DLLi 0x001777a0
MoveEntity__3DLLiibQ23DLL14CONTROL_OPTIONT3 0x00177858
MoveEntity__3DLLP6PLAYERibQ23DLL14CONTROL_OPTIONT3 0x001779f8
WalkEntity__3DLLiiQ23DLL11WAIT_OPTIONfQ23DLL14CONTROL_OPTION 0x00177b78
IsEntityWalkToPointActive__3DLLi 0x00177d18
IsEntityTalking__3DLLi 0x00177d90
IsEntityReactingToHit__3DLLi 0x00177de0
GetDistanceToGoalPos__3DLLi 0x00177e50
WalkEntityAndOrient__3DLLiiQ23DLL11WAIT_OPTIONfQ23DLL14CONTROL_OPTION 0x00177ea0
WalkEntityAlongPath__3DLLiiQ23DLL11WAIT_OPTIONQ23DLL14CONTROL_OPTION 0x00178050
OverRideSecondaryHeight__3DLLf 0x00178160
ReturnHeroAnimToIdle__3DLLv 0x00178170
PlayHeroAnim__3DLLiQ23DLL11WAIT_OPTIONQ23DLL14CONTROL_OPTION 0x001781e0
LoopHeroAnim__3DLLifQ23DLL14CONTROL_OPTION 0x001782d0
SetDefaultHeroIdleAnim__3DLLi 0x001783b8
PlayEntityAnim__3DLLiiQ23DLL11WAIT_OPTIONQ23DLL14CONTROL_OPTION 0x001783c8
LoopEntityAnim__3DLLiifQ23DLL14CONTROL_OPTION 0x00178508
ReturnEntityAnimToIdle__3DLLi 0x00178628
SetDefaultEntityIdleAnim__3DLLii 0x001786b8
DoAIConversation__3DLLiiii 0x001786f8
IsEntityPlayingAnim__3DLLii 0x001787d8
IsEntityCurrentAnimDone__3DLLi 0x00178830
GrabHeroControl__3DLLv 0x00178878
GrabEntityControl__3DLLi 0x001788b0
ReleaseEntityControl__3DLLi 0x001788f8
DisableInvisibility__3DLLi 0x00178940
IsHeroSwapInProgress__3DLLv 0x00178978
SwitchHero__3DLLQ23DLL9HERO_ENUMbT2 0x00178998
SetHeroSwapMode__3DLLQ210GAME_STATE12HeroSwapMode 0x00178a08
GetHeroSwapMode__3DLLv 0x00178a38
WhichHeroIsActive__3DLLv 0x00178a58
BlockPlayerControl__3DLLQ23DLL9HERO_ENUM 0x00178a80
RestorePlayerControl__3DLLQ23DLL9HERO_ENUM 0x00178ae0
ActivateHero__3DLLQ23DLL9HERO_ENUMibN23 0x00178b80
CloseLetterBox__3DLLfQ23DLL11WAIT_OPTIONP4RGBA 0x00178bf8
OpenLetterBox__3DLLfQ23DLL11WAIT_OPTIONP4RGBA 0x00178c80
LetterBoxOn__3DLLfQ23DLL11WAIT_OPTION 0x00178d08
LetterBoxOff__3DLLfQ23DLL11WAIT_OPTION 0x00178d98
FadeScreenOut__3DLLG3RGBfQ23DLL11WAIT_OPTION 0x00178e20
FadeScreenIn__3DLLG3RGBfQ23DLL11WAIT_OPTION 0x00178ef0
DisplaySquareButtonContext__3DLLQ222CONTEXT_MESSAGE_STRING15CONTEXT_MESSAGEe 0x00178fc0
IsButtonPressed__3DLLQ23DLL6BUTTONbT2 0x00179078
StartTransitionScene__3DLL7eWorlds 0x001791c0
IsExteriorLoading__3DLLv 0x00179208
IsTransitionLoading__3DLLv 0x00179228
IsInteriorLoading__3DLLv 0x00179248
CloneHero__3DLLQ23DLL9HERO_ENUMi 0x00179268
LevelMsg__3DLLiP12WORLD_ASSETSbQ23DLL11WAIT_OPTION 0x001792a8
DisplayDialogText__3DLLPQ23DLL11DIALOG_INFOQ23DLL11WAIT_OPTION 0x00179530
LevelPrompt__3DLLiP12WORLD_ASSETSi 0x00179420
DisplayDialogText__3DLLPCc 0x001794f8
IsDialogActive__3DLLv 0x00179590
DebugPrintf__3DLLPce 0x001795b0
DisplayScreenMessage__3DLLPcfff 0x00179620
FloatToChar__3DLLfiPc 0x001796c0
SetDebugScriptLogState__3DLLQ210GAME_STATE14DEBUG_LOG_MODE 0x001796e8
RegisterTransitionMap__3DLLi 0x00179720
SetMaxActiveAI__3DLLi 0x00179730
ForceTriggerScriptIfNotRunning__3DLLi 0x00179768
GetObjCurrentTime__3DLLi 0x001797a8
GetObjMaxTime__3DLLi 0x001797f0
GetObjCurrentFrame__3DLLi 0x00179838
GetObjNumFrames__3DLLi 0x00179898
MoveObjToLocator__3DLLiib 0x001798c8
MoveObjToAnimatedLocator__3DLLiiibP12WORLD_ASSETS 0x00179978
GetAnimObjWorldPos__3DLLiRfN22 0x00179a50
GetAnimObjWorldForward__3DLLiRfN22 0x00179ad8
GetAnimObjWorldUp__3DLLiRfN22 0x00179b60
GetAnimObjWorldLeft__3DLLiRfN22 0x00179be8
GetAnimObjBoundingBoxCorner__3DLLiRfN22 0x00179c70
GetAnimObjBoundingBoxSize__3DLLiRfN22 0x00179cf8
GetVisualCenterPos__3DLLiRfN22 0x00179d80
GetAnimObjWorldStartPos__3DLLiRfN22 0x00179e08
GetAnimatedLocPos__3DLLiiRfN23 0x00179e90
GetDistFromHeroToLocator__3DLLi 0x00179f10
GetDistFromHeroToAnimatedLocator__3DLLii 0x00179fb0
ActivateMovableBlock__3DLLibP12WORLD_ASSETS 0x0017a058
MoveMovableBlockToLocator__3DLLii 0x0017a098
ReacquireMovableBlockHeightPatch__3DLLifP12WORLD_ASSETS 0x0017a110
GetSystemTime__3DLLv 0x0017a168
GetFrameCount__3DLLv 0x0017a178
GetNumberOfFramesPerSecond__3DLLv 0x0017a188
GetTimeStep__3DLLv 0x0017a198
StartCameraShake__3DLLfffffff 0x0017a1a8
StartCameraShakeMode__3DLLQ23DLL17CAMERA_SHAKE_TYPEff 0x0017a238
VibrateController__3DLLQ227CControllerVibrationManager16EPresetVibrationff 0x0017a288
ControlThreadsAllocate__3DLLP12WORLD_ASSETSi 0x0017a2d8
ControlThreadStart__3DLLP12WORLD_ASSETSPFPv_vPv 0x0017a358
SlotAllocate__3DLLP12WORLD_ASSETSi 0x0017a3e0
SlotCreate__3DLLP12WORLD_ASSETSiPCi 0x0017a400
SlotLoad__3DLLP12WORLD_ASSETSiibT4 0x0017a420
SlotReset__3DLLP12WORLD_ASSETSi 0x0017a4c0
SlotCharacterCount__3DLLP12WORLD_ASSETSi 0x0017a4e0
CharacterActivate__3DLLP12WORLD_ASSETSii 0x0017a500
CharacterDeactivate__3DLLP12WORLD_ASSETSii 0x0017a520
CharacterDeactivate__3DLLP6PLAYER 0x0017a540
CharacterDistance__3DLLP12WORLD_ASSETSii 0x0017a580
CharacterDistance__3DLLi 0x0017a608
CharacterOnScreen__3DLLP12WORLD_ASSETSii 0x0017a6a0
CharacterOnScreen__3DLLi 0x0017a6d8
CharacterNavmeshAssign__3DLLP12WORLD_ASSETSiii 0x0017a718
CharacterNavmeshAssign__3DLLii 0x0017a750
GetEntityCurrentNavmeshID__3DLLP12WORLD_ASSETSi 0x0017a798
SetWhinnyPenmesh__3DLLP12WORLD_ASSETSiii 0x0017a7e0
SetWhinnySwitches__3DLLP12WORLD_ASSETSPiN22i 0x0017a818
MiamiceCatchDisable__3DLLv 0x0017a8a0
InitMiamouseBehavior__3DLLP12WORLD_ASSETSii 0x0017a8c0
NumMiamiceInCage__3DLLv 0x0017a8e8
InitMortogBehavior__3DLLP12WORLD_ASSETSiiiff 0x0017a908
ChangeMortogTimes__3DLLff 0x0017a9a8
NumMortogsOnTarget__3DLLv 0x0017a9c8
CharacterSetAvoidPoint__3DLLP12WORLD_ASSETSii 0x0017a9e8
CharacterPathAssign__3DLLii 0x0017aa60
CharacterIndex__3DLLP6PLAYER 0x0017aaa8
ItemActivate__3DLLP12WORLD_ASSETSiibT4P8CFVECTORT6 0x0017ab00
ItemActivate__3DLLibT2P8CFVECTORT4 0x0017ab20
ItemDeactivate__3DLLP12WORLD_ASSETSUi 0x0017ab68
ItemSetPriceMultiplier__3DLLf 0x0017ab88
GetAssetGroupCharacterRange__3DLLiRiT2 0x0017abb8
GetAssetGroupItemRange__3DLLiRiT2 0x0017abf0
GetScriptGroupMainTrigger__3DLLiP12WORLD_ASSETS 0x0017ac28
GetScriptGroupInstance__3DLLiP12WORLD_ASSETS 0x0017ac78
DeactivateScriptGroup__3DLLiP12WORLD_ASSETS 0x0017acc8
ReActivateScriptGroup__3DLLiP12WORLD_ASSETS 0x0017acf8
AddItemToWorld__3DLLibT2f 0x0017ad68
AddItemToWorld__3DLLiibT3f 0x0017adb8
MakeBreakable__3DLLibP12WORLD_ASSETS 0x0017ae30
GetBreakableAlignment__3DLLi 0x0017ae88
IsBreakableIntact__3DLLi 0x0017aed0
IsBreakableInvulnerable__3DLLi 0x0017af38
SetBreakableActive__3DLLibP12WORLD_ASSETS 0x0017af88
SetWorldLoadOverRide__3DLLi 0x0017b000
RegisterTeleportCallback__3DLLPFPQ23DLL11COLLIS_INFO_viQ222CONTEXT_MESSAGE_STRING15CONTEXT_MESSAGEP12WORLD_ASSETS 0x0017b020
RegisterItemProximityCallback__3DLLP12WORLD_ASSETSPFPQ23DLL17ItemProximityData_v 0x0017b060
RegisterEntityProximityCallback__3DLLP12WORLD_ASSETSiPFPQ23DLL16AI_ProximityData_vb 0x0017b080
RegisterItemAskAboutCallback__3DLLP12WORLD_ASSETSiPFPQ23DLL17ItemProximityData_vb 0x0017b0a0
StartEnterInterior__3DLL7eWorldsiiP3RGB 0x0017b0c0
StartLeaveInterior__3DLL7eWorldsiiP3RGB 0x0017b178
StartExteriorReplacementLoadWithoutFade__3DLL7eWorldsi 0x0017b238
StartExteriorReplacementLoad__3DLL7eWorldsiP3RGB 0x0017b2b0
GetPriorExteriorFile__3DLLv 0x0017b338
GetPriorInteriorFile__3DLLv 0x0017b358
GetPriorTransitionFile__3DLLv 0x0017b378
GetLastActiveWorld__3DLLv 0x0017b398
SetTargetColor__3DLLiffff 0x0017b3b8
SetTargetActive__3DLLib 0x0017b400
MoveTargetToLocator__3DLLii 0x0017b450
MoveTargetToAnimatedLocator__3DLLiii 0x0017b4a0
RegisterQuestFlagCallBack__3DLLPFPv_vi 0x0017b4f0
RegisterLevelFlagCallback__3DLLPFPv_vi 0x0017b520
GetAnimatedObjPositionPointer__3DLLi 0x0017b598
GetHeroPositionPointer__3DLLv 0x0017b5e8
GetEntityPositionPointer__3DLLP12WORLD_ASSETSi 0x0017b610
IsDoingChainAttack__3DLLv 0x0017b650
IsDoingSpinAttack__3DLLv 0x0017b680
IsDoingLungeAttack__3DLLv 0x0017b6c0
IsDoingAnyMeleeAttack__3DLLv 0x0017b6f0
IsDoingMeleeAttack__3DLLi 0x0017b798
IsOnLastMeleeJab__3DLLv 0x0017b820
IsDoingPoweredUpMoteAttack__3DLLv 0x0017b898
HasHitEntity__3DLLi 0x0017b940
SetZoneVis__3DLLQ23DLL13ZONE_VIS_MODE 0x0017b978
GetPlayerPetPetType__3DLLv 0x0017b9b0
LockChest__3DLLP12WORLD_ASSETSiii 0x0017b9d0
AddBlackboardMessage__3DLLQ222DLL_BLACKBOARD_MESSAGE7DB_TYPEi7eWorlds 0x0017b9f0
GetBlackboardMessageValue__3DLLQ222DLL_BLACKBOARD_MESSAGE7DB_TYPE7eWorlds 0x0017ba28
EnableVillagerSocialize__3DLLi 0x0017ba58
DisableVillagerSocialize__3DLLi 0x0017ba90
SetWorldCollisMask__3DLLP12WORLD_ASSETSUi 0x0017bac8
SetWorldDisplayMask__3DLLP12WORLD_ASSETSUi 0x0017bad0
CollideEntityWithTriggers__3DLLi 0x0017bb30
GetReanimateTime__3DLLP6PLAYER 0x0017bb90
SetReanimateTime__3DLLP6PLAYERf 0x0017bc10
GetReanimateTime__3DLLi 0x0017bc88
SetReanimateTime__3DLLif 0x0017bcb8
GetPlayerID__3DLLP6PLAYER 0x0017bcf8
DFS_Act1_SetIndices__3DLLiiiii 0x0017bd10
DFS_Act1_IsTriggerHit__3DLLv 0x0017bd78
DFS_Act1_SetTriggerData__3DLLibT2 0x0017bed0
DFS_Act1_IsValidTrigger__3DLLi 0x0017bf38
DFS_Act1_ResetTriggers__3DLLv 0x0017bf68
HasExternalMissileTarget__3DLLv 0x0017bf88
GetExternalMissileTarget__3DLLv 0x0017bfa8
SetExternalMissileTarget__3DLLi 0x0017bfb8
Draik_SetBreakableIndices__3DLLiiiiiiiii 0x0017bfd0
TriggerBaggus__3DLLi 0x0017c0d8
ActivateExteriorAssets__3DLLv 0x0017c130
ActivateInteriorAssets__3DLLv 0x0017c198
ActivateTransitionAssets__3DLLv 0x0017c200
MoveEffectToCharPosition__3DLLiifff 0x0017c268
AttachEffectToMovableBlock__3DLLP12WORLD_ASSETSiifff 0x0017c390
RegisterHeroDeathCallback__3DLLP12WORLD_ASSETSPFPQ23DLL13HeroDeathInfo_vb 0x0017c458
RegisterHeroUseItemCallback__3DLLP12WORLD_ASSETSPFPQ23DLL11UseItemInfo_vb 0x0017c4b8
RegisterHeroPickupItemCallback__3DLLP12WORLD_ASSETSPFPQ23DLL14PickupItemInfo_vb 0x0017c518
RegisterHeroBuyItemCallback__3DLLP12WORLD_ASSETSPFPQ23DLL11BuyItemInfo_vb 0x0017c578
RegisterAIPlayerActivateCallback__3DLLP12WORLD_ASSETSPFi_b 0x0017c5d8
UseItemFromPlayerInventory__3DLLi 0x0017c648
SetAnimObjPositionOffset__3DLLifff 0x0017c670
SetAnimObjAdditionRotX__3DLLif 0x0017c790
SetAnimObjAdditionRotY__3DLLif 0x0017c7e8
SetAnimObjAdditionRotZ__3DLLif 0x0017c840
SetAnimObjAdditionRotXZ__3DLLiff 0x0017c898
SetAnimObjAdditionRotObjX__3DLLif 0x0017c918
SetAnimObjAdditionRotObjY__3DLLif 0x0017c968
SetAnimObjAdditionRotObjZ__3DLLif 0x0017c9b8
SetAnimObjAdditionRotLocatorForward__3DLLiif 0x0017ca08
ResetAnimObjOffsets__3DLLi 0x0017ca58
SetAnimObjColorMultiplier__3DLLiUcUcUcUc 0x0017ca88
GetDispIDofLastItemPickedUp__Q23DLL4HEROv 0x0017cae8
GetDispIDofLastItemPickedUp__3DLLi 0x0017caf8
ActivateTimer__3DLLffiP4RGBA 0x0017cb28
StopTimer__3DLLv 0x0017cb48
StartTimer__3DLLv 0x0017cb68
SetTimerColor__3DLLP4RGBA 0x0017cb88
GetTimer__3DLLv 0x0017cba8
DeactivateTimer__3DLLv 0x0017cbc8
ActivateCounter__3DLLifP4RGBA 0x0017cbe8
SetCounterColor__3DLLP4RGBA 0x0017cc08
GetCounter__3DLLv 0x0017cc28
DeactivateCounter__3DLLv 0x0017cc48
OverRideMidiSettings__3DLLiiii 0x0017cc88
SetMidiAdventureLevel__3DLLf 0x0017cce8
SetMidiExciteLevel__3DLLi 0x0017cd18
MoveEntity__3DLLifffQ23DLL14CONTROL_OPTION 0x0017cd48
MoveEntity__3DLLiffffffQ23DLL14CONTROL_OPTION 0x0017ce68
GetEntityPos__3DLLiRfN22 0x0017cfc8
GetEntityPosAndDir__3DLLiRfN52 0x0017d048
IsWorldOrCharacterLoadActive__3DLLv 0x0017d128
SetItemBlockMode__3DLLb 0x0017d148
TriggerActStart__3DLLi 0x0017d240
IsActStartDone__3DLLv 0x0017d4a8
GetClosestNavMeshId__3DLLP12WORLD_ASSETSi 0x0017d4b0
RegisterMovableBlockSoundIndex__3DLLP12WORLD_ASSETSi 0x0017d5c0
UnloadSoundBanks__3DLLi 0x0017d5d0
SetGameOver__3DLLi 0x0017d600
BossFightTweakHero__3DLLQ23DLL24BOSS_FIGHT_INTANCES_ENUMQ23DLL21BOSS_FIGHT_STAGE_ENUM 0x0017d628
